category,genus,family,order,class,phylum,pop_state,size_confidence,trend_confidence,bio_status,conservation_dependent,population_trend,kingdom_Animalia,kingdom_Chromista,kingdom_Fungi,kingdom_Plantae,domain_Freshwater,domain_Land,domain_Marine,report_group_Bats,report_group_Freshwater fish,report_group_Freshwater invertebrates,report_group_Frogs,report_group_Hornworts and liverworts,report_group_Lichens,report_group_Macroalgae,report_group_Marine invertebrates,report_group_Marine mammals,report_group_Mosses,report_group_Reptiles,report_group_Seabirds,"report_group_Sharks, rays, and chimaeras",report_group_Shorebirds,report_group_Terrestrial birds,report_group_Terrestrial invertebrates,report_group_Vascular plants
1,120,98,42.0,10.0,7.0,0,0,0,1,0,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,401,98,42.0,10.0,7.0,0,0,0,1,0,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,1066,148,9.0,1.0,1.0,1,0,0,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1465,28,9.0,1.0,1.0,1,0,0,0,0,-1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1466,499,9.0,1.0,1.0,0,0,0,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1467,148,9.0,1.0,1.0,1,2,2,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1468,148,9.0,1.0,1.0,1,0,0,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1066,148,9.0,1.0,1.0,1,0,2,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,345,28,9.0,1.0,1.0,1,0,0,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1469,92,9.0,1.0,1.0,1,0,1,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1461,429,9.0,1.0,1.0,0,0,0,0,0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,274,167,9.0,1.0,1.0,2,3,3,0,0,-1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1470,809,198.0,17.0,3.0,0,3,2,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,145,0,4.0,0.0,0.0,0,2,2,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,145,0,4.0,0.0,0.0,2,3,3,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,145,0,4.0,0.0,0.0,2,3,3,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,145,0,4.0,0.0,0.0,2,3,3,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,145,0,4.0,0.0,0.0,0,1,1,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,145,0,4.0,0.0,0.0,0,1,1,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,145,0,4.0,0.0,0.0,0,0,0,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,145,0,4.0,0.0,0.0,0,1,2,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,145,0,4.0,0.0,0.0,0,0,0,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,145,0,4.0,0.0,0.0,0,0,0,0,0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1472,168,36.0,10.0,7.0,0,0,0,1,0,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
